"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2012";9088
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2013";9466
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2014";9856
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2015";10352
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2016";10622
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2017";10876
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2018";10360
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2019";10726
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2020";11318
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2021";11151
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2022";11750
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2023";11455
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2024";11262
"SIM-DO";"MA";"21";"Maranhão";"anual";"I";"2025";0
